Measurement: #1
Date: 2025-06-13T15:43:47.0076013+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 38
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 19
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4923.170;4801.243;4875.022;4937.193;4978.150;4977.993;4979.047;5027.356;5028.329;5088.624;5082.914;5092.267;5140.617;5109.823;5180.108;5237.211;5188.800;5297.495;5235.335;5260.075;5154.389;5402.180;5339.420;5397.402;5328.031;5355.709;5386.023;5373.514;5390.518;5551.621;5509.396;5385.179;5534.768;5548.158;5421.689;5576.871;5439.248;5560.558;5512.705;5564.968;5674.524;5553.410;5499.917;5727.705;5462.253;5651.953;5684.571;5729.638;5644.876;5669.123;5716.208;5726.743;5658.742;5737.263;5793.984;5694.793;5871.094;5741.613;5753.334;5730.402;5802.742;5852.002;5738.832;5879.188;5848.987;5839.042;5822.925;5846.935;5868.456;5831.551;5875.138;5940.131;5890.747;5951.356;5869.834;5999.500;5948.690;5939.091;5954.666;5929.231;6058.035;6098.637;6006.542;6029.811;6099.061;5989.919;6116.614;6113.528;6044.002;6120.441;6117.991;6124.486;6169.165;6206.718;6228.423;6279.722;6260.091;6245.446;6169.020;6384.040;6304.773;6346.882;6269.215;6448.383;6391.772;6420.754;6521.214;6527.896;6440.693;6520.398;6468.191;6575.331;6699.487;6534.656;6628.091;6673.875;6729.975;6687.400;6838.386;6782.051;6861.330;6876.817;6943.161;6964.345;7023.868;7087.114;7123.299;7334.620;7191.279;7112.037;7430.713;7286.126;7293.584;7461.985;7575.652;7614.728;7682.397;7798.118;7856.092;8059.108;8100.023;7969.815;8352.928;8234.305;8579.377;8652.720;8748.291;8805.364;9114.833;9157.886;9534.560;9813.979;10100.570;10274.383;10643.574;11017.278;11407.025;12235.063;12494.910;13486.520;14590.525;15797.446;17078.944;18606.026;18313.926;17340.300;13627.312;9492.898;5303.857;2443.808;895.947;267.102;72.965;25.366;20.147;42.077;17.537;19.531;16.983;18.250
4926.128;4797.885;4875.022;4935.252;4974.960;4971.238;4980.668;5025.331;5020.852;5080.659;5079.981;5088.756;5142.488;5112.045;5182.252;5231.727;5194.287;5294.082;5242.451;5254.155;5159.436;5404.073;5346.341;5386.088;5330.006;5364.152;5397.386;5381.493;5408.110;5555.428;5525.094;5397.176;5550.008;5563.385;5446.521;5598.661;5462.196;5584.770;5540.220;5591.611;5703.884;5585.324;5524.420;5763.796;5494.907;5688.493;5719.063;5763.240;5689.229;5710.449;5759.810;5772.326;5713.352;5788.484;5835.278;5747.894;5927.595;5800.523;5820.594;5801.315;5869.764;5920.259;5812.307;5963.054;5922.119;5921.216;5912.387;5930.506;5962.184;5928.774;5974.655;6040.429;5996.905;6058.921;5990.745;6113.346;6074.507;6062.272;6084.959;6065.916;6195.798;6238.584;6158.861;6182.588;6265.120;6146.630;6286.354;6281.955;6229.095;6303.659;6308.763;6318.714;6363.917;6415.567;6445.158;6502.391;6489.731;6488.707;6411.367;6646.010;6569.094;6618.053;6548.129;6749.618;6693.187;6736.578;6850.843;6868.329;6790.490;6889.909;6844.211;6969.959;7112.608;6958.733;7064.788;7143.716;7211.221;7194.560;7372.995;7335.128;7443.685;7484.935;7578.578;7632.854;7729.245;7825.635;7906.578;8187.223;8063.799;8020.885;8429.444;8326.226;8349.221;8656.316;8846.533;8995.076;9155.573;9420.989;9605.067;10014.796;10225.440;10267.159;10980.994;11108.415;11918.223;12453.315;13134.970;13929.700;15329.732;16454.916;18080.779;18878.200;18254.878;15507.368;11589.062;7152.443;3608.805;1511.009;473.255;131.861;35.791;18.239;14.094;13.259;12.808;13.088;11.335;11.872;10.844;11.784;10.152;10.514;11.064;8.900;10.292;9.536;7.989;9.396;8.173;9.250
4909.367;4786.695;4858.812;4921.671;4960.073;4956.601;4964.462;5012.172;5010.170;5069.708;5068.250;5077.050;5130.326;5097.969;5174.748;5224.050;5187.233;5286.118;5236.521;5249.222;5152.369;5401.233;5342.016;5386.088;5328.031;5360.400;5394.140;5384.152;5408.110;5559.236;5526.940;5404.811;5555.869;5570.491;5452.164;5606.443;5474.216;5597.914;5556.063;5606.835;5724.856;5607.851;5553.823;5789.576;5526.352;5720.684;5751.177;5801.323;5731.248;5751.775;5802.421;5816.009;5762.921;5835.765;5878.866;5807.738;5987.419;5863.965;5886.060;5871.566;5943.685;5997.230;5887.433;6045.274;6015.286;6012.752;6009.304;6026.368;6067.877;6033.199;6086.743;6160.786;6117.944;6185.468;6116.780;6252.597;6217.746;6211.436;6235.935;6220.826;6364.734;6412.605;6335.931;6368.862;6459.645;6344.522;6496.197;6504.364;6447.759;6537.012;6544.246;6573.892;6622.050;6692.978;6727.772;6802.849;6795.129;6812.438;6743.178;7008.231;6927.736;7005.006;6935.858;7174.948;7126.715;7198.601;7333.863;7383.708;7312.080;7451.717;7423.428;7593.726;7770.038;7644.503;7783.659;7917.573;8023.759;8055.495;8294.702;8316.533;8485.244;8608.868;8782.787;8937.410;9134.501;9364.324;9578.041;10071.819;10080.424;10233.918;10993.324;11144.342;11579.415;12398.966;13259.746;14256.281;15467.648;17041.069;18191.248;18890.283;17478.013;14039.872;10217.235;5783.417;2779.442;1030.455;302.587;76.420;25.257;18.015;15.183;16.497;14.292;15.157;12.830;14.138;12.499;13.593;11.993;14.737;10.099;11.566;10.175;12.273;10.133;10.169;10.245;11.872;9.890;10.389;10.152;8.273;9.997;8.115;8.103;14.960;7.989;9.396;8.173;9.250
