Measurement: #5
Date: 2025-06-13T15:58:21.7176197+02:00
MLIC serial number: 26688
Comments: 
Calibration info: [2023-12-05 19:42:27]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: 30 [cm]
Snout distance: 42 [cm]
FieldSize: 10 [cm]
SSD: 228 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 1000 [ms]
Number of samples: 39
Measurement mode: MovieMode
Measurement time: 60 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 17
Curve depth: [mm]
2.261;4.098;5.935;7.772;9.609;11.446;13.283;15.120;16.957;18.793;20.630;22.467;24.304;26.141;27.978;29.815;31.652;33.489;35.326;37.162;38.999;40.836;42.673;44.510;46.347;48.184;50.021;51.858;53.695;55.531;57.368;59.205;61.042;62.879;64.716;66.553;68.390;70.227;72.064;73.900;75.737;77.574;79.411;81.248;83.085;84.922;86.759;88.596;90.433;92.269;94.106;95.943;97.780;99.617;101.454;103.291;105.128;106.965;108.802;110.638;112.475;114.312;116.149;117.986;119.823;121.660;123.497;125.334;127.171;129.007;130.844;132.681;134.518;136.355;138.192;140.029;141.866;143.703;145.540;147.376;149.213;151.050;152.887;154.724;156.561;158.398;160.235;162.072;163.909;165.745;167.582;169.419;171.256;173.093;174.930;176.767;178.604;180.441;182.278;184.114;185.951;187.788;189.625;191.462;193.299;195.136;196.973;198.810;200.647;202.483;204.320;206.157;207.994;209.831;211.668;213.505;215.342;217.179;219.016;220.852;222.689;224.526;226.363;228.200;230.037;231.874;233.711;235.548;237.385;239.221;241.058;242.895;244.732;246.569;248.406;250.243;252.080;253.917;255.754;257.590;259.427;261.264;263.101;264.938;266.775;268.612;270.449;272.286;274.123;275.959;277.796;279.633;281.470;283.307;285.144;286.981;288.818;290.655;292.492;294.328;296.165;298.002;299.839;301.676;303.513;305.350;307.187;309.024;310.861;312.697;314.534;316.371;318.208;320.045;321.882;323.719;325.556;327.393;329.230;331.066
Curve gains: [counts]
4927.114;4799.004;4870.519;4931.372;4965.390;4968.986;4963.651;5017.233;5011.238;5070.704;5065.317;5077.050;5123.777;5092.783;5161.885;5218.567;5169.207;5277.017;5217.546;5239.355;5135.207;5379.463;5316.926;5380.432;5303.339;5332.258;5362.483;5350.465;5356.100;5527.508;5479.848;5363.365;5510.151;5526.839;5399.115;5551.969;5417.392;5530.811;5486.856;5539.595;5644.324;5530.883;5472.473;5698.489;5438.065;5624.982;5656.026;5702.757;5617.641;5640.901;5687.471;5697.305;5631.017;5711.652;5775.631;5666.979;5844.505;5713.517;5725.534;5704.555;5774.160;5822.956;5709.938;5850.411;5818.933;5809.917;5796.832;5823.584;5839.540;5804.184;5846.854;5910.041;5864.951;5922.883;5840.119;5973.155;5920.623;5910.221;5923.643;5899.409;6030.884;6075.515;5978.934;6003.667;6073.441;5963.609;6090.500;6088.696;6015.876;6095.830;6093.151;6096.042;6142.660;6179.294;6200.735;6250.551;6237.600;6219.548;6145.239;6354.769;6282.838;6322.507;6240.448;6422.806;6366.328;6399.199;6496.192;6501.417;6416.890;6501.545;6445.148;6554.115;6679.565;6518.552;6605.697;6653.553;6708.179;6667.608;6817.595;6763.303;6844.632;6857.813;6928.355;6950.143;7011.043;7074.785;7112.808;7325.550;7177.092;7106.666;7421.706;7280.989;7302.213;7459.221;7574.611;7615.773;7685.623;7807.532;7863.970;8071.802;8112.709;7992.852;8372.252;8261.678;8614.295;8688.724;8790.011;8857.432;9176.139;9230.154;9624.375;9920.869;10221.609;10414.472;10814.434;11229.079;11667.437;12556.228;12904.280;14018.081;15254.963;16548.149;17709.016;18745.021;17524.969;15409.649;10989.782;6845.484;3370.018;1357.485;437.406;121.441;37.745;18.309;19.052;44.789;15.627;19.531;16.004;16.250
4930.072;4799.004;4870.519;4928.462;4965.390;4961.105;4968.513;5015.208;5009.102;5067.717;5067.272;5075.880;5127.519;5091.302;5167.245;5214.180;5175.477;5277.017;5223.476;5236.396;5142.274;5385.142;5322.982;5372.889;5313.216;5339.762;5372.224;5362.876;5371.397;5531.315;5502.009;5377.544;5532.424;5538.006;5422.818;5572.980;5438.155;5558.482;5512.705;5564.968;5679.557;5562.796;5503.837;5735.439;5474.347;5662.393;5694.086;5741.959;5666.663;5687.266;5735.036;5742.887;5685.627;5764.844;5812.337;5725.137;5903.222;5776.959;5794.587;5773.480;5846.109;5898.475;5789.191;5935.098;5900.079;5894.171;5889.089;5904.698;5939.251;5899.247;5952.657;6015.354;5973.093;6031.503;5968.203;6089.824;6048.376;6037.251;6060.142;6036.094;6174.681;6215.462;6136.965;6160.529;6238.550;6124.897;6264.903;6261.441;6207.320;6279.959;6284.916;6295.959;6346.632;6397.636;6419.379;6482.944;6470.792;6471.133;6393.247;6626.984;6548.255;6605.866;6528.118;6727.831;6675.572;6725.332;6836.700;6853.199;6777.036;6873.884;6832.689;6957.229;7097.929;6952.023;7055.830;7131.523;7202.502;7192.086;7365.075;7328.638;7440.554;7483.125;7582.280;7636.912;7731.993;7841.663;7914.738;8198.309;8080.013;8041.296;8452.461;8354.476;8400.996;8697.785;8896.493;9056.727;9224.393;9509.252;9698.480;10129.040;10364.012;10431.555;11176.074;11346.345;12221.645;12827.403;13619.326;14541.496;16076.899;17203.408;18535.775;18557.532;16818.237;13072.765;8784.274;4793.279;2108.914;768.380;213.795;59.784;22.502;17.127;15.074;14.244;13.699;14.061;13.515;14.380;12.752;13.178;12.107;11.634;12.131;9.684;10.292;14.960;9.898;10.663;9.152;11.250
4906.410;4774.385;4845.304;4899.358;4944.123;4938.587;4943.393;4984.840;4986.671;5043.824;5042.833;5052.469;5103.194;5069.817;5146.878;5194.439;5155.883;5258.814;5208.059;5220.610;5125.111;5368.105;5310.004;5359.690;5298.400;5330.382;5363.295;5346.919;5360.689;5528.777;5494.622;5369.909;5525.390;5540.036;5417.175;5574.537;5443.619;5560.558;5519.375;5575.118;5688.785;5570.306;5520.499;5750.047;5488.860;5684.143;5716.684;5763.240;5695.454;5715.489;5765.756;5779.923;5725.954;5803.260;5853.630;5768.123;5953.076;5825.900;5847.498;5832.464;5907.217;5959.470;5853.585;6008.275;5974.213;5973.225;5975.755;5993.185;6031.981;5996.471;6051.127;6125.682;6083.220;6148.558;6079.892;6219.666;6180.968;6171.980;6201.810;6186.033;6329.539;6378.531;6303.564;6335.366;6425.485;6310.206;6462.622;6467.656;6419.632;6506.019;6517.419;6544.636;6595.545;6662.389;6695.309;6779.513;6766.720;6786.539;6714.866;6980.424;6905.800;6985.709;6914.595;7154.108;7107.143;7177.046;7316.457;7366.687;7295.522;7434.750;7411.907;7586.300;7760.601;7639.135;7779.180;7916.760;8023.759;8061.680;8306.583;8328.791;8502.986;8632.396;8816.100;8983.059;9184.885;9430.902;9656.136;10168.568;10195.949;10375.724;11170.453;11364.347;11881.436;12761.136;13749.987;14889.506;16214.989;17731.878;18445.604;18205.665;15643.401;11437.821;7405.131;3671.525;1524.816;486.885;127.567;37.369;19.509;16.983;16.170;15.428;15.223;14.028;13.790;13.089;13.508;13.593;13.146;14.737;10.985;11.566;11.154;11.287;11.025;10.169;10.245;11.872;9.890;11.784;9.174;10.514;8.929;8.115;10.292;20.383;8.944;10.663;8.173;9.250
